Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
FRA,2010-05-01,2010-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,,95.530000,X,base year is 2015
FRA,2011-05-01,2011-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,,96.850000,X,base year is 2015
FRA,2012-05-01,2012-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,,99.680000,X,base year is 2015
FRA,2013-05-01,2013-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,,101.330000,X,base year is 2015
FRA,2014-05-01,2014-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,,100.130000,X,base year is 2015
FRA,2015-05-01,2015-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,,100.480000,X,base year is 2015
FRA,2016-05-01,2016-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,,101.480000,X,base year is 2015
FRA,2017-05-01,2017-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,,101.890000,X,base year is 2015
FRA,2018-05-01,2018-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,,103.820000,X,base year is 2015
FRA,2019-05-01,2019-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,,106.070000,X,base year is 2015
FRA,2020-05-01,2020-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,,110.240000,X,base year is 2015
FRA,2021-05-01,2021-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,,109.700000,X,base year is 2015
FRA,2022-05-01,2022-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,,114.750000,X,base year is 2015
FRA,2023-05-01,2023-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2023,2023,,131.900000,X,base year is 2015
FRA,2000-06-01,2000-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,,77.780000,X,base year is 2015
FRA,2001-06-01,2001-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,,83.000000,X,base year is 2015
FRA,2002-06-01,2002-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,,84.530000,X,base year is 2015
FRA,2003-06-01,2003-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,,86.660000,X,base year is 2015
FRA,2004-06-01,2004-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,,87.840000,X,base year is 2015
FRA,2005-06-01,2005-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,,87.180000,X,base year is 2015
FRA,2006-06-01,2006-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,,88.520000,X,base year is 2015
FRA,2007-06-01,2007-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,,89.680000,X,base year is 2015
FRA,2008-06-01,2008-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,,94.860000,X,base year is 2015
FRA,2009-06-01,2009-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,,94.160000,X,base year is 2015
FRA,2010-06-01,2010-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,,95.370000,X,base year is 2015
FRA,2011-06-01,2011-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,,97.120000,X,base year is 2015
FRA,2012-06-01,2012-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,,100.110000,X,base year is 2015
FRA,2013-06-01,2013-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,,101.800000,X,base year is 2015
FRA,2014-06-01,2014-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,,99.900000,X,base year is 2015
FRA,2015-06-01,2015-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,,100.200000,X,base year is 2015
FRA,2016-06-01,2016-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,,100.740000,X,base year is 2015
FRA,2017-06-01,2017-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,,101.570000,X,base year is 2015
FRA,2018-06-01,2018-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,,103.610000,X,base year is 2015
FRA,2019-06-01,2019-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,,106.190000,X,base year is 2015
FRA,2020-06-01,2020-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,,109.190000,X,base year is 2015
FRA,2021-06-01,2021-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,,108.870000,X,base year is 2015
FRA,2022-06-01,2022-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2022,2022,,115.710000,X,base year is 2015
FRA,2023-06-01,2023-06-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2023,2023,,132.220000,X,base year is 2015
FRA,2000-07-01,2000-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2000,2000,,77.590000,X,base year is 2015
FRA,2001-07-01,2001-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2001,2001,,83.100000,X,base year is 2015
FRA,2002-07-01,2002-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2002,2002,,84.010000,X,base year is 2015
FRA,2003-07-01,2003-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2003,2003,,86.290000,X,base year is 2015
FRA,2004-07-01,2004-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2004,2004,,86.860000,X,base year is 2015
FRA,2005-07-01,2005-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2005,2005,,86.470000,X,base year is 2015
FRA,2006-07-01,2006-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2006,2006,,88.260000,X,base year is 2015
FRA,2007-07-01,2007-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2007,2007,,88.980000,X,base year is 2015
FRA,2008-07-01,2008-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2008,2008,,94.920000,X,base year is 2015
FRA,2009-07-01,2009-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2009,2009,,93.390000,X,base year is 2015
FRA,2010-07-01,2010-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2010,2010,,94.790000,X,base year is 2015
FRA,2011-07-01,2011-07-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2011,2011,,96.920000,X,base year is 2015
